key,web_zh,mobile_zh
account.accountInfo,账号信息,
account.advancedSetting,高级设置，修改后可能无法连接,
account.avatar,头像,
account.avatarDeleteFailed,头像删除失败,头像删除失败
account.avatarDeleted,,头像已删除
account.avatarHint,建议上传正方形图片，将自动裁剪为 200x200,
account.avatarUpdated,,头像更新成功
account.avatarUploadFailed,头像上传失败,头像上传失败
account.bindEmail,绑定邮箱,绑定邮箱
account.changeAvatar,更换头像,更换头像
account.changeEmail,修改邮箱,修改邮箱
account.changePassword,修改密码,修改密码
account.changePasswordFailed,,修改密码失败
account.changePhone,,换绑手机号
account.changePhoneBtn,,换绑
account.checking,检查中...,
account.chooseFromAlbum,,从相册选择
account.codeSent,验证码已发送,验证码已发送
account.confirmChange,确认换绑,
account.confirmNewPassword,确认新密码,确认新密码
account.dangerZone,危险操作,
account.dataWillBeDeleted,你的所有收藏、标签、分组和分享数据将被永久删除。,
account.deleteAccount,删除账号,
account.deleteAccountConfirmPhrase,删除我的账号,
account.deleteAccountDesc,永久删除你的账号和所有数据，此操作不可恢复,
account.deleteAccountFailed,删除账号失败,
account.deleteAvatar,,删除头像
account.deleteAvatarBtn,删除头像,删除头像
account.deleteAvatarConfirm,,确定要删除头像吗？将恢复默认头像。
account.deleting,删除中...,
account.email,邮箱,邮箱
account.emailBindSuccess,邮箱绑定成功,
account.emailBound,,邮箱绑定成功
account.enterCode,,验证码
account.enterEmail,,请输入邮箱地址
account.enterEmailHint,,请输入邮箱
account.enterServerAddress,,请输入服务器地址
account.enterToConfirm,请输入 ,
account.enterUsername,,请输入用户名
account.fillComplete,,请填写完整
account.getCode,获取验证码,
account.googleEmailLocked,Google 登录邮箱不可修改,Google 登录邮箱不可修改
account.irreversibleWarning,⚠️ 此操作不可恢复！,
account.localUpload,从电脑导入,
account.needPhotoPermission,,需要相册权限才能选择头像
account.newPassword,新密码,新密码
account.newPhone,新手机号,新手机号
account.nicknameFallback,Google 用户,Google 用户
account.notBound,未绑定,未绑定
account.notSet,未设置,未设置
account.oldPassword,旧密码,旧密码
account.pageDesc,管理你的账号信息,
account.pageTitle,账号与安全,
account.password,密码,密码
account.passwordChangeFailed,修改密码失败,
account.passwordChangeSuccess,密码修改成功,
account.passwordChangedSuccess,,密码修改成功
account.passwordHint,至少8位，包含英文大小写和数字,至少8位，包含英文大小写和数字
account.passwordMinLength,密码至少8位，且包含英文大小写和数字,
account.passwordMismatch,两次密码不一致,两次密码不一致
account.passwordSetFailed,设置密码失败,
account.passwordSetSuccess,密码设置成功,密码设置成功
account.permanentlyDelete,永久删除,
account.phoneChangeFailed,换绑失败,
account.phoneChangeSuccess,手机号换绑成功,
account.pleaseEnterEmail,请输入邮箱,
account.pleaseEnterEmailAddr,请输入邮箱地址,
account.pleaseEnterServer,请输入服务器地址,
account.pleaseEnterUsername,请输入用户名,
account.pleaseFillComplete,请填写完整,
account.resetDefault,恢复默认,恢复默认
account.saveFailed,保存失败,
account.saveSuccess,保存成功,
account.selectFromCover,从封面库选择,从封面选择
account.sendCodeFailed,发送验证码失败,发送验证码失败
account.serverAddress,服务器地址,服务器地址
account.serverExample,,例如：http://192.168.0.104:3001
account.serverHint,输入服务器地址（不含 /api 后缀）,输入服务器地址（不含 /api 后缀）
account.serverPlaceholder,例如：http://192.168.0.104:3001,
account.serverReset,,已恢复默认服务器地址
account.serverResetFailed,重置失败,重置失败
account.serverResetSuccess,已恢复默认服务器地址,
account.serverSetFailed,设置失败,设置失败
account.serverUpdateSuccess,服务器地址已更新，请重新登录,
account.serverUpdated,,服务器地址已更新，请重新登录
account.serverWarning,⚠️ 仅在开发调试时修改，错误配置将导致无法连接服务器,高级设置，修改后可能无法连接
account.serverWarningDetail,,⚠️ 仅在开发调试时修改，错误配置将导致无法连接服务器
account.set,已设置,已设置
account.setPassword,设置密码,设置密码
account.setPasswordFailed,,设置密码失败
account.setUsername,设置用户名,设置用户名
account.takePhoto,,拍照
account.tapToChangeAvatar,,点击更换头像
account.title,账号设置,
account.toConfirmDelete, 以确认删除：,
account.username,用户名,用户名
account.usernameAvailable,用户名可用,
account.usernameChanged,,用户名修改成功
account.usernamePlaceholder,2-20位字母、数字、下划线或中文,2-20位字母、数字、下划线或中文
account.usernameTaken,用户名已被占用,
account.verificationCode,,验证码
account.verifyCode,验证码,
account.yourCodeIs,"您的验证码是：{code}
（当前无短信服务，验证码直接显示）","您的验证码是：{code}
（当前无短信服务，验证码直接显示）"
add.addFailed,,添加失败
add.addNote,添加备注...,
add.addToGroup,添加到分组 *,
add.addedSuccess,,收藏已添加
add.autoDetectedAs,已自动识别为：{platform},已识别：{platform}
add.canStillSave,,（仍可保存）
add.collapseMorePlatforms,收起更多平台,收起更多平台
add.coverImage,封面图片,
add.coverImagePlaceholder,封面图片URL（自动获取或手动填写）,封面URL（可选）
add.createGroup,创建分组,创建分组
add.createTag,创建标签,创建标签
add.detected,,已检测到平台信息
add.duplicateWarning,该链接已收藏过：{title},该链接已收藏过：{title}
add.enterTitle,输入标题,输入标题
add.fetchingPageInfo,正在获取页面信息...,
add.groupNamePlaceholder,输入分组名称,输入分组名
add.levelPlatforms,级平台,级平台
add.linkOrShareText,链接或分享文本 *,内容链接 *
add.noTitle,无标题,无标题
add.noteField,备注（可选，最多100字）,备注（可选）
add.parseFailed,解析失败,链接解析失败
add.parseResultEmpty,,解析结果为空
add.parsingLink,正在解析链接...,
add.parsingShareText,正在解析分享文本...,
add.pasteLinkPlaceholder,粘贴链接或APP分享文本（支持抖音、小红书、淘宝等）,粘贴链接或APP分享文本
add.platformCount,,等{count}个平台
add.platformField,平台,
add.pleaseEnterLinkAndTitle,,请填写链接和标题
add.pleaseEnterValidLink,请输入有效的链接或分享文本,
add.pleaseSelectGroup,请选择一个分组,
add.quickSelectPlatform,快速选择平台,快速选择平台
