key,zh
app.name,链藏
app.nameEn,LinkChest
app.subtitle,跨平台收藏管理
nav.collections,收藏
nav.groups,分组
nav.shares,分享
nav.settings,设置
nav.addCollection,添加收藏
collection.myCollections,我的收藏
collection.searchPlaceholder,搜索标题、备注、标签...
collection.filterTitle,筛选
collection.clearFilter,清除筛选
collection.noCollections,暂无收藏
collection.noCollectionsInFilter,「{label}」中没有收藏内容
collection.noCollectionsHint,快去收集你的第一个内容吧！
collection.addFirst,添加第一条收藏
collection.deleteConfirm,确定删除此收藏？
collection.deleted,已删除「{title}」
collection.undoFailed,撤销失败，请手动重新添加
collection.loadMore,加载全部收藏
collection.showCount,已显示 {shown} / {total} 条收藏
collection.batchManage,批量管理
collection.selected,已选 {count}
collection.selectAll,全选
collection.deselectAll,全不选
collection.selectedItems,已选 {count} 项
collection.moveToGroup,移到分组
collection.addTag,加标签
collection.removeTag,移除标签
collection.removeGroup,移出分组
collection.delete,删除
collection.cancel,取消
collection.moveToGroupTitle,移动到分组
collection.addTagTitle,添加标签
collection.selectTargetGroup,选择目标分组：
collection.selectTagsToAdd,选择要添加的标签：
collection.batchMoveToGroup,批量移动到分组
collection.batchAddTags,批量添加标签
collection.selectedItemsTarget,已选 {count} 个收藏 → 选择{target}
collection.default,默认
collection.gridView,网格视图
collection.listView,列表视图
collection.noGroupFilter,当前未按分组筛选
collection.removeFromGroupConfirm,确定将 {count} 个收藏从当前分组移除？
collection.detail.note,备注
collection.detail.tags,标签
collection.detail.groups,分组
collection.detail.openLink,打开链接
collection.detail.edit,编辑
collection.detail.delete,删除
collection.table.title,标题
collection.table.platform,平台
collection.table.tags,标签
collection.table.groups,分组
collection.table.actions,操作
collection.filter.platform,平台
collection.filter.tag,标签
collection.filter.group,分组
collection.filter.allTags,全部标签
collection.filter.allGroups,全部分组
collection.filter.clear,清除
group.management,分组管理
group.newGroup,新建分组
group.newSubGroup,新建子分组
group.editGroup,编辑分组
group.groupName,分组名称
group.description,描述（可选）
group.noGroups,暂无分组
group.noGroupsHint,创建分组来更好地整理你的收藏内容
group.nameExists,"分组""{name}""已存在，是否继续创建？（将自动重命名）"
group.nameExistsAuto,"分组名""{originalName}""已存在，已自动重命名为""{newName}"""
group.deleteConfirm,"删除分组""{name}""？其中的收藏将转移到默认分组。"
group.deleteConfirmWithChildren,"删除分组""{name}""？其中的收藏将转移到默认分组，子分组将提升到父级。"
group.deleteSuccessWithChildren,删除成功，{count} 个子分组已提升到父级。
group.defaultGroupNoDelete,默认分组不可删除
group.defaultName,我的收藏
