key,zh
app.name,链藏
app.nameEn,LinkChest
app.subtitle,收藏并分享你的宝藏
app.subtitleEn,Collect and share your treasures
nav.collections,收藏
nav.lists,分组
nav.groups,分组
nav.tags,标签
nav.shares,分享
nav.settings,设置
nav.addCollection,添加收藏
nav.collectionDetail,收藏详情
nav.shareDetail,分享详情
nav.profile,我的
collection.myCollections,我的收藏
collection.searchPlaceholder,搜索标题、备注、标签...
collection.filter,筛选
collection.clearFilter,清除筛选
collection.resetFilter,重置
collection.applyFilter,应用筛选
collection.noCollections,暂无收藏
collection.addFirst,点击右下角添加
collection.deleteConfirm,"确定要删除""{title}""吗？"
collection.batchDeleteConfirm,确定要删除选中的 {count} 个收藏吗？
collection.batchManage,批量管理
collection.selected,已选 {count}
collection.selectedCount,已选 {count}
collection.selectAll,全选
collection.deselectAll,全不选
collection.moveToGroup,移到分组
collection.addTag,加标签
collection.removeTag,移除标签
collection.removeFromGroup,移出分组
collection.removeFromGroupConfirm,"确定将选中的 {count} 个收藏从该分组移除吗？将移至""我的收藏""。"
collection.removeFromTagConfirm,确定将选中的 {count} 个收藏从该标签移除吗？
collection.delete,删除
collection.cancel,取消
collection.confirm,确认
collection.confirmDelete,确认删除
collection.moveToGroupTitle,移动到分组
collection.addTagTitle,添加标签
collection.selectTargetGroup,选择目标分组
collection.selectTagsToAdd,选择要添加的标签
collection.movedToGroup,已移动到「{name}」
collection.addedTag,已添加标签 #{name}
collection.addTagFailed,添加失败
collection.moveFailed,移动失败
collection.default,默认
collection.gridView,网格视图
collection.tableView,表格视图
collection.platformMultiSelect,平台（多选）
collection.tag,标签
collection.group,分组
collection.clear,清除
collection.sourceGroup,选择来源分组：
collection.noItemsToAdd,没有可添加的收藏
collection.selectSourceGroup,请选择来源分组
collection.addToTag,添加收藏到 #{name}
collection.moveToGroupName,移动收藏到「{name}」
collection.addToTagBtn,添加到标签
collection.moveToGroupBtn,移入分组
collection.selectAllItems,全选
collection.selectedItemsTarget,已选 {count} 个收藏 → 选择{target}
collection.filterLabel,筛选: {label}
collection.filterGroupLabel,分组: {name}
collection.loadMore,加载更多...
collection.table.title,标题
collection.table.platform,平台
collection.table.tags,标签
collection.table.groups,分组
collection.table.actions,操作
collection.noCollectionsHint,点击右下角添加
collection.loadMoreText,加载更多...
collection.reset,重置
collection.add,添加收藏
collection.filterTitle,筛选
collection.selectSourceGroupHint,请选择来源分组
collection.noItemsToAddHint,没有可添加的收藏
collection.selectedItemsCount,已选 {count} 项
collection.addFailed,添加失败
collection.error,错误
