来源(Source),分类(Namespace),键名(Key),中文(ZH),英文(EN),法语(FR),德语(DE),日语(JA),韩语(KO),备注(Context)
web,account,account.accountInfo,账号信息,Account Info,,,,,
web,account,account.advancedSetting,高级设置，修改后可能无法连接,Advanced setting. Incorrect configuration may cause connection issues.,,,,,
web,account,account.avatar,头像,Avatar,,,,,
web,account,account.avatarDeleteFailed,头像删除失败,Failed to delete avatar,,,,,
web,account,account.avatarHint,建议上传正方形图片，将自动裁剪为 200x200,"Square images recommended, will be cropped to 200x200",,,,,
web,account,account.avatarUploadFailed,头像上传失败,Avatar upload failed,,,,,
web,account,account.bindEmail,绑定邮箱,Bind Email,,,,,
web,account,account.changeAvatar,更换头像,Change Avatar,,,,,
web,account,account.changeEmail,修改邮箱,Change Email,,,,,
web,account,account.changePassword,修改密码,Change Password,,,,,
web,account,account.checking,检查中...,Checking...,,,,,
web,account,account.codeSent,验证码已发送,Verification code sent,,,,,
web,account,account.confirmChange,确认换绑,Confirm Change,,,,,
web,account,account.confirmNewPassword,确认新密码,Confirm New Password,,,,,
web,account,account.dangerZone,危险操作,Danger Zone,,,,,
web,account,account.dataWillBeDeleted,你的所有收藏、标签、分组和分享数据将被永久删除。,"All your collections, tags, groups and share data will be permanently deleted.",,,,,
web,account,account.deleteAccount,删除账号,Delete Account,,,,,
web,account,account.deleteAccountConfirmPhrase,删除我的账号,Delete my account,,,,,
web,account,account.deleteAccountDesc,永久删除你的账号和所有数据，此操作不可恢复,Permanently delete your account and all data. This cannot be undone.,,,,,
web,account,account.deleteAccountFailed,删除账号失败,Failed to delete account,,,,,
web,account,account.deleteAvatarBtn,删除头像,Delete Avatar,,,,,
web,account,account.deleting,删除中...,Deleting...,,,,,
web,account,account.email,邮箱,Email,,,,,
web,account,account.emailBindSuccess,邮箱绑定成功,Email bound successfully,,,,,
web,account,account.enterToConfirm,请输入,Enter,,,,,
web,account,account.getCode,获取验证码,Get Code,,,,,
web,account,account.googleEmailLocked,Google 登录邮箱不可修改,Google login email cannot be changed,,,,,
web,account,account.irreversibleWarning,⚠️ 此操作不可恢复！,⚠️ This action is irreversible!,,,,,
web,account,account.localUpload,从电脑导入,Upload from Computer,,,,,
web,account,account.newPassword,新密码,New Password,,,,,
web,account,account.newPhone,新手机号,New Phone Number,,,,,
web,account,account.nicknameFallback,Google 用户,Google User,,,,,
web,account,account.notBound,未绑定,Not bound,,,,,
web,account,account.notSet,未设置,Not set,,,,,
web,account,account.oldPassword,旧密码,Current Password,,,,,
web,account,account.pageDesc,管理你的账号信息,Manage your account information,,,,,
web,account,account.pageTitle,账号与安全,Account & Security,,,,,
web,account,account.password,密码,Password,,,,,
web,account,account.passwordChangeFailed,修改密码失败,Failed to change password,,,,,
web,account,account.passwordChangeSuccess,密码修改成功,Password changed successfully,,,,,
web,account,account.passwordHint,至少8位，包含英文大小写和数字,"At least 8 chars with uppercase, lowercase, and numbers",,,,,
web,account,account.passwordMinLength,密码至少8位，且包含英文大小写和数字,"Password must be at least 8 characters with uppercase, lowercase, and numbers",,,,,
web,account,account.passwordMismatch,两次密码不一致,Passwords do not match,,,,,
web,account,account.passwordSetFailed,设置密码失败,Failed to set password,,,,,
web,account,account.passwordSetSuccess,密码设置成功,Password set successfully,,,,,
web,account,account.permanentlyDelete,永久删除,Permanently Delete,,,,,
web,account,account.phoneChangeFailed,换绑失败,Failed to change phone,,,,,
web,account,account.phoneChangeSuccess,手机号换绑成功,Phone number changed successfully,,,,,
web,account,account.pleaseEnterEmail,请输入邮箱,Please enter email,,,,,
web,account,account.pleaseEnterEmailAddr,请输入邮箱地址,Please enter email address,,,,,
web,account,account.pleaseEnterServer,请输入服务器地址,Please enter server address,,,,,
web,account,account.pleaseEnterUsername,请输入用户名,Please enter username,,,,,
web,account,account.pleaseFillComplete,请填写完整,Please fill in completely,,,,,
web,account,account.resetDefault,恢复默认,Reset to Default,,,,,
web,account,account.saveFailed,保存失败,Save failed,,,,,
web,account,account.saveSuccess,保存成功,Saved successfully,,,,,
web,account,account.selectFromCover,从封面库选择,Select from Cover Library,,,,,
web,account,account.sendCodeFailed,发送验证码失败,Failed to send verification code,,,,,
web,account,account.serverAddress,服务器地址,Server Address,,,,,
web,account,account.serverHint,输入服务器地址（不含 /api 后缀）,Enter server address (without /api suffix),,,,,
web,account,account.serverPlaceholder,例如：http://192.168.0.104:3001,e.g. http://192.168.0.104:3001,,,,,
web,account,account.serverResetFailed,重置失败,Failed to reset,,,,,
web,account,account.serverResetSuccess,已恢复默认服务器地址,Default server address restored,,,,,
web,account,account.serverSetFailed,设置失败,Failed to set,,,,,
web,account,account.serverUpdateSuccess,服务器地址已更新，请重新登录,Server address updated. Please log in again.,,,,,
web,account,account.serverWarning,⚠️ 仅在开发调试时修改，错误配置将导致无法连接服务器,⚠️ Only modify for development/debugging. Incorrect configuration will prevent server connection.,,,,,
web,account,account.set,已设置,Set,,,,,
web,account,account.setPassword,设置密码,Set Password,,,,,
web,account,account.setUsername,设置用户名,Set Username,,,,,
web,account,account.title,账号设置,Account Settings,,,,,
web,account,account.toConfirmDelete,以确认删除：,to confirm deletion:,,,,,
web,account,account.username,用户名,Username,,,,,
web,account,account.usernameAvailable,用户名可用,Username available,,,,,
web,account,account.usernamePlaceholder,2-20位字母、数字、下划线或中文,"2-20 characters: letters, numbers, underscores, or Chinese",,,,,
web,account,account.usernameTaken,用户名已被占用,Username already taken,,,,,
web,account,account.verifyCode,验证码,Verification Code,,,,,
web,account,account.yourCodeIs,您的验证码是：{code}<br>（当前无短信服务，验证码直接显示）,"Your code: {code}<br>(SMS not configured, code shown here)",,,,,
web,add,add.addNote,添加备注...,Add a note...,,,,,
web,add,add.addToGroup,添加到分组 *,Add to Group *,,,,,
web,add,add.autoDetectedAs,已自动识别为：{platform},Auto-detected as: {platform},,,,,
web,add,add.collapseMorePlatforms,收起更多平台,Collapse More Platforms,,,,,
web,add,add.coverImage,封面图片,Cover Image,,,,,
web,add,add.coverImagePlaceholder,封面图片URL（自动获取或手动填写）,Cover image URL (auto-fetched or manual),,,,,
web,add,add.createGroup,创建分组,Create Group,,,,,
web,add,add.createTag,创建标签,Create Tag,,,,,
web,add,add.duplicateWarning,该链接已收藏过：{title},This link has been bookmarked: {title},,,,,
web,add,add.enterTitle,输入标题,Enter title,,,,,
web,add,add.fetchingPageInfo,正在获取页面信息...,Fetching page info...,,,,,
web,add,add.groupNamePlaceholder,输入分组名称,Enter group name,,,,,
web,add,add.levelPlatforms,级平台,-Tier Platforms,,,,,
web,add,add.linkOrShareText,链接或分享文本 *,Link or share text *,,,,,
web,add,add.noTitle,无标题,No title,,,,,
web,add,add.noteField,备注（可选，最多100字）,"Note (optional, max 100 chars)",,,,,
web,add,add.parseFailed,解析失败,Parse failed,,,,,
web,add,add.parsingLink,正在解析链接...,Parsing link...,,,,,
web,add,add.parsingShareText,正在解析分享文本...,Parsing share text...,,,,,
web,add,add.pasteLinkPlaceholder,粘贴链接或APP分享文本（支持抖音、小红书、淘宝等）,"Paste link or app share text (supports X, YouTube, TikTok, etc.)",,,,,
web,add,add.platformField,平台,Platform,,,,,
web,add,add.pleaseEnterValidLink,请输入有效的链接或分享文本,Please enter a valid link or share text,,,,,
web,add,add.pleaseSelectGroup,请选择一个分组,Please select a group,,,,,
web,add,add.quickSelectPlatform,快速选择平台,Quick Select Platform,,,,,
web,add,add.resolvingShortLink,正在还原短链...,Resolving short link...,,,,,
web,add,add.saveCollection,保存收藏,Save Bookmark,,,,,
web,add,add.saveFailed,保存失败,Save failed,,,,,
web,add,add.selectGroup,选择分组,Select group,,,,,
web,add,add.selectTags,选择标签,Select tags,,,,,
web,add,add.selectedTags,已选,Selected,,,,,
web,add,add.shortLinkResolved,（短链已还原）,(Short link resolved),,,,,
web,add,add.supportShareText,支持直接粘贴抖音、小红书、淘宝等APP的分享文本,"Supports pasting share text from X, YouTube, TikTok, etc.",,,,,
web,add,add.tagNamePlaceholder,输入标签名称,Enter tag name,,,,,
web,add,add.tags,标签,Tags,,,,,
web,add,add.title,添加收藏,Add Bookmark,,,,,
web,add,add.titleDuplicateWarning,已存在同名收藏：{title}（仍可继续保存）,Bookmark with same title exists: {title} (you can still save),,,,,
web,add,add.titleField,标题 *,Title *,,,,,
web,add,add.viewMorePlatforms,查看更多平台,View More Platforms,,,,,
web,app,app.name,链藏,LinkChest,,,,,
web,app,app.nameEn,LinkChest,LinkChest,,,,,
web,app,app.subtitle,跨平台收藏管理,Cross-platform Bookmark Manager,,,,,
web,collection,collection.addFirst,添加第一条收藏,Add your first bookmark,,,,,
web,collection,collection.addTag,加标签,Add Tag,,,,,
web,collection,collection.addTagTitle,添加标签,Add Tag,,,,,
web,collection,collection.batchAddTags,批量添加标签,Batch Add Tags,,,,,
web,collection,collection.batchManage,批量管理,Batch Manage,,,,,
